product_id,nom_produit,prix_unitaire,quantite_vendue,chiffre_affaires,z_score
5768,Camille Giroud Maranges Rouge 1er Cru Le Croix Moines 2016,35.6,1.0,35.6,0.1123621010019575
6137,Domaine de Vaccelli Ajaccio Blanc Sirocco 2017,46.0,2.0,92.0,0.485984125115881
4689,Domaine Plageoles Côtes du Tarn Blanc Sec Ondenc,12.8,1.0,12.8,-0.7067323364785671
5629,Parés Baltà Cava Brut Nature,10.3,0.0,0.0,-0.7965453230444142
5711,Albert Mann Riesling Cuvée Albert 2017,25.0,5.0,125.0,-0.2684449620372338
4401,Cognac Frapin VSOP,62.5,1.0,62.5,1.0787498364504713
4573,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,67.2,0.0,0.0,1.2475982511942638
5061,Lucien Boillot Gevrey Chambertin Les Evocelles 2017,52.6,0.0,0.0,0.7230904096497172
5446,Parcé Frères Banyuls Rimage 2018,16.2,0.0,0.0,-0.5845866747490153
4256,Domaine Huet Vouvray Haut-Lieu Sec 2017,24.4,0.0,0.0,-0.2900000788130371
5380,Nouvelle-Zélande Marlborough Momo Sauvignon Blanc 2018,18.0,0.0,0.0,-0.5199213244216054
4176,Domaine de l'Hortus Pic Saint-Loup La Bergerie Rouge 2018,13.5,9.0,121.5,-0.6815847002401301
4251,Domaine Saint-Denis Bourgogne Rouge Le Clos 2017,14.1,8.0,112.8,-0.6600295834643267
4261,Chermette Domaine du Vissoux Beaujolais Griottes 2018,9.9,1.0,9.9,-0.8109154008949497
4612,Gilbert Picq Chablis Vieilles Vignes 2017,20.6,10.0,206.0,-0.4265158183931244
5485,Decelle-Villa Savigny-Lès-Beaune Blanc 2018,33.4,3.0,100.2,0.033326672824012
5573,Domaine Huet Vouvray Le Clos du Bourg Demi-Sec 2017,34.7,0.0,0.0,0.0800294258382526
6226,Le Pas de l'Escalette Terrasses du Larzac Le Pas de D. 2017,20.4,0.0,0.0,-0.4337008573183923
4079,Le Vieux Donjon Châteauneuf-du-Pape 2013,37.0,0.0,0.0,0.1626573734788318
4303,Rimauresq Côtes de Provence Rouge Cru Classé Quintessence 2015,30.0,0.0,0.0,-0.0888189889055397
4778,Clos du Mont-Olivet Lirac Rosé Farel 2019,13.9,0.0,0.0,-0.6672146223895945
4793,Maurice Schoech Pinot Gris Grand Cru Schlossberg 2017,18.7,0.0,0.0,-0.4947736881831683
4274,Domaine Sérol Vin Mousseux Rosé Turbullent Méthode Ancestrale,12.9,0.0,0.0,-0.7031398170159333
4627,Marcel Windholtz Eau de Vie de Poire Williams Réserve Particulière,58.3,4.0,233.2,0.9278640190198484
4723,François Baur Pinot Noir Sang Du Dragon 2017,29.0,3.0,87.0,-0.1247441835318785
5394,Chili Valdivieso Merlot 2017,10.7,0.0,0.0,-0.7821752451938787
4601,Catherine et Claude Maréchal Bourgogne Aligoté 2018,16.1,4.0,64.4,-0.5881791942116491
4891,Jacqueson Rully Blanc 1er Cru La Pucelle 2018,27.9,36.0,1004.4,-0.1642618976208513
6631,Weingut Besson-Strasser Zürich Pinot Noir Albi 2016,47.2,0.0,0.0,0.5290943586674878
4684,Château Plaisance Fronton To Co Que Cal 2015,18.1,3.0,54.3,-0.5163288049589715
4912,Jean-Baptiste Arena Patrimonio Rouge Grotte Di Sole 2018,25.9,6.0,155.4,-0.2361122868735289
6328,Le Pas de l'Escalette IGP Pays d'Hérault Les Clapas Blanc 2018,22.4,0.0,0.0,-0.3618504680657147
4394,Wemyss Malts Blended Malt Scotch Whisky Treacle Chest,59.8,0.0,0.0,0.9817518109593564
4890,Saumaize-Michelin Saint-Véran 2018,17.0,6.0,102.0,-0.5558465190479442
5704,Domaine de l'Ecu Muscadet Gneiss 2015,16.9,0.0,0.0,-0.5594390385105782
4666,Vincent Carême Vouvray Moelleux 2015,21.0,0.0,0.0,-0.412145740542589
5802,Château Peymartin Saint-Julien 2014,23.8,0.0,0.0,-0.3115551955888403
6626,Weingut Besson-Strasser Zürich Räuschling 2018,33.2,0.0,0.0,0.0261416338987444
4686,Cosse Maisonneuve Cahors Solis 2018,14.0,2.0,28.0,-0.6636221029269607
4722,François Baur Pinot Gris Herrenweg de Turckheim 2018,13.7,1.0,13.7,-0.6743996613148623
5398,Chili Montsecano (Ostertag) Pinot Noir 2013,39.0,1.0,39.0,0.2345077627315094
5550,Thierry Germain Saumur-Champigny La Marginale 2017,34.3,0.0,0.0,0.0656593479877169
4207,Domaine Montrose Côtes de Thongue Rouge 2018,6.7,5.0,33.5,-0.925876023699234
4245,Parcé Frères IGP Pays d'Oc Zoé Viognier 2019,8.9,1.0,8.9,-0.8468405955212885
4633,Marcel Windholtz Eau de Vie de Mirabelle d'Alsace Réserve Particulière,52.4,3.0,157.2,0.7159053707244494
5695,Philippe Nusswitz IGP Cévènnes Rosé O Pale 2019,6.5,14.0,91.0,-0.9330610626245016
